"시점","행정구역(시군구)별","성별",15세,16세,17세,18세,19세,20세,21세,22세,23세,24세,25세,26세,27세,28세,29세,30세,31세,32세,33세,34세,35세,36세,37세,38세,39세,40세,41세,42세,43세,44세,45세,46세,47세,48세,49세
"2013","동래구","여자",1624.5,1731.5,1807,1763,1742,1805.5,1822,1733.5,1715,1735.5,1678,1638,1641,1674.5,1782,1967,2007,2061.5,2054,1884,1783,1809,1887.5,2041,2184,2229,2313.5,2370.5,2422,2482,2532.5,2353.5,2292.5,2374.5,2320
"2013","남구","여자",1510,1585,1674,1705,1769,1903,1994,1849,1765.5,1788,1734.5,1712.5,1675.5,1683.5,1842,2048,2161.5,2207.5,2261.5,2077,1932,1993,2009.5,2121.5,2318.5,2370.5,2404,2473.5,2420,2504,2440.5,2216,2157,2186,2153.5
"2013","북구","여자",1962,2088.5,2174.5,2250.5,2281,2340.5,2330,2155,2085.5,2016.5,1985.5,1921,1864,1882.5,1959.5,2162.5,2257,2226,2212.5,2024.5,1947,1960.5,1993,2158,2370.5,2522.5,2613,2731,2879.5,3034.5,3102,2971.5,2895,2947,2849.5
"2013","해운대구","여자",2705,2860,2906.5,2970,2895,2814,2799.5,2640.5,2479,2426.5,2366,2368,2370,2356,2542,2798.5,3116.5,3313,3349.5,3088.5,3004,3139.5,3203,3546,3799.5,3981.5,4214.5,4333.5,4224,4201,4194,3823,3720.5,3852.5,3709
"2013","사하구","여자",2102.5,2188.5,2215.5,2260.5,2303,2451.5,2439,2216,2108,2088.5,2054.5,2041.5,2101,2231,2393,2640,2812,2815.5,2694.5,2394,2288.5,2331.5,2338,2521,2684.5,2689.5,2799.5,2927,3015.5,3082,3047,2857,2872.5,2942.5,2871.5
"2013","금정구","여자",1401.5,1484,1596,1666,1755,1838.5,1882,1776.5,1684.5,1656,1655.5,1577.5,1472,1515,1613.5,1721,1806,1842.5,1823.5,1621.5,1502.5,1502,1541,1655.5,1758.5,1855,1950,2060,2147,2208,2247,2166.5,2122.5,2227.5,2235.5
"2013","강서구","여자",269.5,271,288,297.5,317,330.5,326.5,326.5,338,339.5,324,335.5,368,376.5,433.5,524.5,575.5,584.5,557.5,522.5,476,473,445.5,475,468,432,419,436.5,425.5,408,429,413.5,400.5,437.5,432.5
"2013","연제구","여자",1079,1144,1210,1230,1215.5,1260,1326.5,1276,1259.5,1256.5,1208.5,1212.5,1251,1281,1403.5,1551,1658,1686.5,1705,1526.5,1462,1441,1422,1568,1691.5,1678.5,1743.5,1793,1776,1813,1851,1711.5,1637.5,1667.5,1646.5
"2013","수영구","여자",861,912.5,939,959,990.5,1029.5,1098.5,1095,1056.5,1067.5,1108,1133.5,1176,1221.5,1282,1428.5,1517,1517,1455.5,1291.5,1201,1181.5,1172,1278,1359,1359.5,1413,1463,1446.5,1411,1394.5,1306,1275,1367,1401
"2013","사상구","여자",1299.5,1408,1482,1586,1632.5,1671.5,1741.5,1655,1638.5,1619.5,1575,1576.5,1581,1668,1749.5,1894,2033.5,2014,1925,1712,1585,1562,1563,1645.5,1710.5,1773,1787.5,1913,2027.5,2149.5,2257.5,2128.5,2139,2232,2180.5
"2013","기장군","여자",659,635.5,658,633,613.5,612,623,586.5,522,516,514.5,548.5,591.5,666,803,947.5,1111,1219.5,1251,1153.5,1117.5,1099.5,1043.5,1110.5,1161,1141.5,1074.5,1036,1020.5,979.5,944.5,834,798.5,823,806
"2014","서울특별시","여자",52130.5,54886,57277,59200.5,62527.5,64176.5,67006.5,70440.5,70019.5,69851,72868.5,74851,76221,79085.5,81043.5,85203,92145,94722,93022.5,91172.5,81999.5,77653,79323.5,78100.5,81302,85694,87846.5,90162,91243,89445.5,88185.5,85443.5,78031,76710,80429
"2014","종로구","여자",830.5,824,827.5,859.5,1021,1057,1084.5,1137,1158.5,1156.5,1150,1142,1163,1202,1154.5,1126,1165,1215,1213.5,1156,1036,1022.5,1055.5,1043,1158.5,1296.5,1337,1407,1483.5,1442.5,1406.5,1383.5,1270.5,1230,1277
