"시군구별(1)","시군구별(2)",시점,합계출산율
"서울특별시","은평구",2014,1.028
"서울특별시","은평구",2015,1.003
"서울특별시","은평구",2016,0.943
"서울특별시","은평구",2017,0.814
"서울특별시","은평구",2018,0.772
"서울특별시","은평구",2019,0.697
"서울특별시","은평구",2020,0.623
"서울특별시","은평구",2021,0.604
"서울특별시","은평구",2022 p),0.610
"서울특별시","서대문구",2012,0.967
"서울특별시","서대문구",2013,0.938
"서울특별시","서대문구",2014,0.954
"서울특별시","서대문구",2015,0.913
"서울특별시","서대문구",2016,0.934
"서울특별시","서대문구",2017,0.823
"서울특별시","서대문구",2018,0.727
"서울특별시","서대문구",2019,0.685
"서울특별시","서대문구",2020,0.685
"서울특별시","서대문구",2021,0.635
"서울특별시","서대문구",2022 p),0.610
"서울특별시","마포구",2012,0.991
"서울특별시","마포구",2013,0.892
"서울특별시","마포구",2014,0.915
"서울특별시","마포구",2015,0.986
"서울특별시","마포구",2016,0.945
"서울특별시","마포구",2017,0.806
"서울특별시","마포구",2018,0.733
"서울특별시","마포구",2019,0.681
"서울특별시","마포구",2020,0.594
"서울특별시","마포구",2021,0.587
"서울특별시","마포구",2022 p),0.530
"서울특별시","양천구",2012,1.055
"서울특별시","양천구",2013,0.990
"서울특별시","양천구",2014,1.005
"서울특별시","양천구",2015,1.034
"서울특별시","양천구",2016,1.008
"서울특별시","양천구",2017,0.898
"서울특별시","양천구",2018,0.771
"서울특별시","양천구",2019,0.742
"서울특별시","양천구",2020,0.644
"서울특별시","양천구",2021,0.645
"서울특별시","양천구",2022 p),0.610
"서울특별시","강서구",2012,1.151
"서울특별시","강서구",2013,1.032
"서울특별시","강서구",2014,1.064
"서울특별시","강서구",2015,1.129
"서울특별시","강서구",2016,1.059
"서울특별시","강서구",2017,0.925
"서울특별시","강서구",2018,0.826
"서울특별시","강서구",2019,0.760
"서울특별시","강서구",2020,0.675
"서울특별시","강서구",2021,0.617
"서울특별시","강서구",2022 p),0.590
"서울특별시","구로구",2012,1.258
"서울특별시","구로구",2013,1.162
"서울특별시","구로구",2014,1.142
"서울특별시","구로구",2015,1.169
"서울특별시","구로구",2016,1.070
"서울특별시","구로구",2017,0.943
"서울특별시","구로구",2018,0.838
"서울특별시","구로구",2019,0.794
"서울특별시","구로구",2020,0.737
"서울특별시","구로구",2021,0.737
"서울특별시","구로구",2022 p),0.690
"서울특별시","금천구",2012,1.104
"서울특별시","금천구",2013,0.944
"서울특별시","금천구",2014,1.019
"서울특별시","금천구",2015,1.086
"서울특별시","금천구",2016,0.944
"서울특별시","금천구",2017,0.901
"서울특별시","금천구",2018,0.796
"서울특별시","금천구",2019,0.709
