시점,시도별,분유,이유식,TV,영상음향기기,휴대용멀티미디어기기,악기,유아동복,유아용학습교재,초등학교학습서,중학교학습서,고등학교학습서,아동화,장난감,반려동물용품,종이문구,기타문구,필기구,회화용구,유모차,유치원납입금,보육시설이용료,요양시설이용료,반려동물관리비,노래방이용료,놀이시설이용료,운동경기관람료,영화관람료,공연예술관람료,관람시설이용료,문화강습료,온라인콘텐츠이용료,초등학생학원비,중학생학원비,고등학생학원비,음악학원비,미술학원비,운동학원비,전산학원비,가정학습지,이러닝이용료,학교보충교육비,외국어학원비,운동강습료,미용료,뷰티미용료,산후조리원이용료,출산율
2020,　　　울산광역시,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.84
2021,　　　울산광역시,100.44,100.0,97.82,98.1,99.07,101.52,98.99,100.31,100.61,100.0,101.25,100.0,97.76,99.48,100.87,105.49,101.42,101.53,95.78,78.55,83.71,101.07,100.04,100.0,101.71,110.12,116.48,100.0,107.39,105.88,100.45,98.97,97.79,102.54,102.88,101.65,103.28,100.0,99.73,107.46,97.17,100.4,100.0,103.64,100.22,100.8,0.81
2022,　　　울산광역시,97.42,100.15,96.03,100.16,100.51,105.48,102.73,100.32,105.16,101.28,106.8,100.53,100.05,109.07,104.07,111.83,103.54,103.45,101.88,65.51,84.09,104.85,101.37,100.0,103.86,114.82,125.32,100.0,111.51,108.51,103.13,100.26,99.04,105.86,108.34,110.02,108.35,101.72,103.73,110.01,103.11,102.47,100.01,105.69,106.71,105.28,0.78
2012,　　　경기도,104.461,94.489,207.39,98.337,100.893,95.519,89.796,89.448,76.668,85.463,91.137,93.95,92.501,90.538,91.744,80.899,93.238,85.305,96.147,105.219,133.256,72.77,101.854,89.164,83.653,91.912,77.15,95.086,80.927,85.241,92.749,86.58,83.319,85.274,82.941,80.639,78.934,85.523,94.766,106.47,88.828,85.486,90.311,84.869,88.128,92.008,1.3
2013,　　　경기도,105.144,95.994,197.83,105.919,97.204,94.007,94.408,91.265,77.671,89.629,91.119,93.95,91.382,91.96,91.992,83.212,94.501,85.252,95.467,83.445,96.145,74.763,104.134,91.501,85.56,93.739,77.933,95.521,82.882,87.257,94.599,89.607,86.92,88.43,85.147,82.149,80.707,89.531,96.371,108.184,89.827,87.932,91.401,87.726,89.614,91.638,1.19
2014,　　　경기도,112.785,96.283,177.455,104.842,94.383,92.733,96.602,91.465,79.98,93.451,91.119,93.95,92.166,96.354,95.687,88.257,96.275,90.095,95.04,83.796,96.978,77.335,104.278,92.553,88.201,94.191,83.905,95.873,85.584,88.542,94.442,92.791,88.972,89.321,86.928,83.771,83.594,90.45,96.231,108.184,90.62,89.471,92.318,89.822,90.857,92.497,1.21
2015,　　　경기도,117.32,98.969,157.692,105.364,88.127,92.91,97.773,95.359,86.986,93.923,91.216,93.95,94.613,97.788,95.369,91.51,98.575,93.938,94.537,91.013,101.407,79.777,104.763,96.007,88.971,94.919,85.462,99.82,87.736,91.049,94.442,94.953,91.408,91.069,88.185,86.682,86.497,93.324,95.129,109.348,92.816,91.671,93.193,91.733,91.527,94.99,1.24
2016,　　　경기도,109.959,97.386,143.824,106.354,91.959,92.12,99.702,95.855,88.343,93.923,92.789,93.95,98.672,99.919,94.692,92.71,99.864,93.76,98.053,94.4,104.901,81.117,106.87,97.16,91.456,95.86,87.74,99.82,89.177,91.199,97.979,96.887,92.69,92.793,89.935,89.745,88.526,95.049,96.66,111.252,95.24,93.089,94.528,92.232,92.335,97.304,1.17
2017,　　　경기도,104.841,98.899,131.35,103.935,97.07,94.885,103.087,98.334,91.743,93.923,94.256,93.31,99.019,100.491,93.606,94.082,101.602,93.731,105.31,95.891,102.405,84.348,107.87,96.594,93.867,97.42,88.453,98.802,93.276,91.944,98.749,96.771,93.083,94.959,93.23,91.798,91.557,95.173,96.709,111.252,98.656,94.372,96.036,92.895,92.817,97.286,1.05
2018,　　　경기도,99.261,91.736,117.371,101.647,101.444,98.317,103.471,98.334,95.856,95.232,95.986,94.091,99.686,97.948,95.584,96.564,102.12,94.064,106.535,98.542,98.699,92.126,110.074,96.984,96.607,98.277,94.999,99.601,97.621,95.473,98.749,98.483,95.908,97.386,95.065,94.411,93.999,96.605,97.091,111.252,98.663,97.451,97.567,95.805,96.77,98.616,0.98
2019,　　　경기도,97.747,97.821,108.932,100.337,102.703,99.478,102.001,98.358,98.506,99.774,98.609,97.538,99.217,97.074,99.23,98.898,103.064,96.858,104.484,102.139,99.398,97.607,101.985,98.281,99.582,98.397,97.437,100.0,99.18,98.759,99.987,98.991,97.964,98.876,96.913,97.002,96.921,97.718,100.0,120.623,99.777,98.239,98.831,98.138,98.54,98.583,0.92
2020,　　　경기도,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.84
2021,　　　경기도,101.7,100.0,97.82,97.88,99.07,100.22,98.99,100.31,100.61,100.0,101.25,100.0,99.05,101.05,101.72,107.16,98.63,100.86,95.78,96.27,101.28,101.07,100.6,100.95,102.31,102.76,116.48,99.12,107.39,102.02,100.45,100.98,100.95,100.75,102.52,102.06,103.49,101.49,99.73,107.46,101.35,101.19,100.91,101.89,101.67,101.31,0.81
2022,　　　경기도,102.44,100.15,96.03,99.89,100.51,101.23,102.73,100.32,105.16,101.28,106.8,100.53,99.02,105.46,106.48,114.43,99.99,102.93,101.88,92.62,102.16,104.85,103.38,104.91,108.53,111.39,125.32,100.91,111.51,105.77,103.13,103.23,102.98,101.68,107.91,107.19,108.2,104.87,103.73,110.01,104.8,103.66,101.82,105.68,104.69,105.21,0.78
2012,　　　강원도,107.008,95.335,206.101,105.194,99.813,94.676,89.813,89.448,76.668,85.463,91.137,93.95,94.908,88.047,91.85,83.024,98.683,90.646,97.021,107.963,137.625,72.77,85.353,81.871,83.048,91.126,73.71,100.0,80.927,88.253,92.749,87.591,85.863,85.43,79.43,75.405,74.783,74.876,94.766,106.47,97.558,88.309,88.914,81.919,82.583,87.477,1.3
2013,　　　강원도,108.226,95.284,197.204,112.663,96.814,93.812,94.424,91.265,77.671,89.629,91.119,93.95,93.126,94.2,93.244,83.232,99.821,91.245,94.769,79.152,101.877,74.763,88.914,92.29,84.871,99.54,75.425,100.0,82.882,88.253,94.599,90.79,89.457,88.133,80.843,77.205,77.717,78.853,96.371,108.184,97.935,89.817,91.369,86.853,84.395,89.061,1.19
2014,　　　강원도,115.66,95.934,176.652,111.735,93.63,91.856,96.614,91.465,79.98,93.451,91.119,93.95,93.834,96.694,96.821,87.352,99.149,93.235,94.112,79.994,98.585,77.335,89.812,97.123,87.288,100.0,82.371,100.0,85.584,86.397,94.442,92.859,90.269,88.923,82.265,81.356,79.309,82.278,96.231,108.184,101.887,90.614,91.86,88.251,85.464,91.628,1.21
2015,　　　강원도,119.64,98.969,157.692,112.249,88.127,90.618,97.787,95.359,86.986,93.923,91.216,93.95,94.835,94.956,98.486,89.1,99.867,96.107,94.537,89.765,102.105,79.777,90.312,97.466,87.889,100.0,85.462,100.0,87.736,83.832,94.442,92.947,92.623,91.37,86.144,86.054,83.442,88.184,95.129,109.348,98.687,93.313,92.842,90.454,87.07,92.675,1.24
