"시군구별(1)","시군구별(2)",시점,계 (명)
"충청북도","제천시",2013.07,90
"충청북도","제천시",2013.08,81
"충청북도","제천시",2013.09,90
"충청북도","제천시",2013.10,78
"충청북도","제천시",2013.11,64
"충청북도","제천시",2013.12,83
"충청북도","제천시",2014.01,106
"충청북도","제천시",2014.02,75
"충청북도","제천시",2014.03,101
"충청북도","제천시",2014.04,89
"충청북도","제천시",2014.05,90
"충청북도","제천시",2014.06,75
"충청북도","제천시",2014.07,80
"충청북도","제천시",2014.08,82
"충청북도","제천시",2014.09,88
"충청북도","제천시",2014.10,72
"충청북도","제천시",2014.11,70
"충청북도","제천시",2014.12,70
"충청북도","제천시",2015.01,94
"충청북도","제천시",2015.02,72
"충청북도","제천시",2015.03,76
"충청북도","제천시",2015.04,69
"충청북도","제천시",2015.05,71
"충청북도","제천시",2015.06,72
"충청북도","제천시",2015.07,72
"충청북도","제천시",2015.08,64
"충청북도","제천시",2015.09,85
"충청북도","제천시",2015.10,82
"충청북도","제천시",2015.11,79
"충청북도","제천시",2015.12,55
"충청북도","제천시",2016.01,106
"충청북도","제천시",2016.02,67
"충청북도","제천시",2016.03,87
"충청북도","제천시",2016.04,78
"충청북도","제천시",2016.05,71
"충청북도","제천시",2016.06,74
"충청북도","제천시",2016.07,56
"충청북도","제천시",2016.08,76
"충청북도","제천시",2016.09,79
"충청북도","제천시",2016.10,75
"충청북도","제천시",2016.11,70
"충청북도","제천시",2016.12,52
"충청북도","제천시",2017.01,62
"충청북도","제천시",2017.02,68
"충청북도","제천시",2017.03,72
"충청북도","제천시",2017.04,58
"충청북도","제천시",2017.05,78
"충청북도","제천시",2017.06,55
"충청북도","제천시",2017.07,62
"충청북도","제천시",2017.08,58
"충청북도","제천시",2017.09,72
"충청북도","제천시",2017.10,57
"충청북도","제천시",2017.11,60
"충청북도","제천시",2017.12,58
"충청북도","제천시",2018.01,93
"충청북도","제천시",2018.02,65
"충청북도","제천시",2018.03,66
"충청북도","제천시",2018.04,65
"충청북도","제천시",2018.05,65
"충청북도","제천시",2018.06,51
"충청북도","제천시",2018.07,76
"충청북도","제천시",2018.08,64
"충청북도","제천시",2018.09,53
"충청북도","제천시",2018.10,54
"충청북도","제천시",2018.11,65
"충청북도","제천시",2018.12,38
"충청북도","제천시",2019.01,69
"충청북도","제천시",2019.02,66
"충청북도","제천시",2019.03,65
"충청북도","제천시",2019.04,63
"충청북도","제천시",2019.05,48
"충청북도","제천시",2019.06,55
"충청북도","제천시",2019.07,67
"충청북도","제천시",2019.08,57
"충청북도","제천시",2019.09,49
"충청북도","제천시",2019.10,52
"충청북도","제천시",2019.11,48
"충청북도","제천시",2019.12,36
"충청북도","제천시",2020.01,90
"충청북도","제천시",2020.02,46
"충청북도","제천시",2020.03,55
"충청북도","제천시",2020.04,60
"충청북도","제천시",2020.05,50
"충청북도","제천시",2020.06,43
"충청북도","제천시",2020.07,44
"충청북도","제천시",2020.08,43
"충청북도","제천시",2020.09,55
"충청북도","제천시",2020.10,54
"충청북도","제천시",2020.11,37
"충청북도","제천시",2020.12,35
"충청북도","제천시",2021.01,41
"충청북도","제천시",2021.02,43
"충청북도","제천시",2021.03,53
"충청북도","제천시",2021.04,50
"충청북도","제천시",2021.05,46
"충청북도","제천시",2021.06,58
"충청북도","제천시",2021.07,52
"충청북도","제천시",2021.08,52
"충청북도","제천시",2021.09,45
"충청북도","제천시",2021.10,49
"충청북도","제천시",2021.11,45
"충청북도","제천시",2021.12,40
"충청북도","청주시",2012.01,0
"충청북도","청주시",2012.02,0
"충청북도","청주시",2012.03,0
"충청북도","청주시",2012.04,0
"충청북도","청주시",2012.05,0
"충청북도","청주시",2012.06,0
"충청북도","청주시",2012.07,0
"충청북도","청주시",2012.08,0
"충청북도","청주시",2012.09,0
"충청북도","청주시",2012.10,0
"충청북도","청주시",2012.11,0
"충청북도","청주시",2012.12,0
"충청북도","청주시",2013.01,0
"충청북도","청주시",2013.02,0
"충청북도","청주시",2013.03,0
"충청북도","청주시",2013.04,0
"충청북도","청주시",2013.05,0
"충청북도","청주시",2013.06,0
"충청북도","청주시",2013.07,0
"충청북도","청주시",2013.08,0
"충청북도","청주시",2013.09,0
"충청북도","청주시",2013.10,0
"충청북도","청주시",2013.11,0
"충청북도","청주시",2013.12,0
"충청북도","청주시",2014.01,774
"충청북도","청주시",2014.02,704
"충청북도","청주시",2014.03,731
"충청북도","청주시",2014.04,690
"충청북도","청주시",2014.05,664
"충청북도","청주시",2014.06,675
"충청북도","청주시",2014.07,701
"충청북도","청주시",2014.08,714
"충청북도","청주시",2014.09,756
"충청북도","청주시",2014.10,687
"충청북도","청주시",2014.11,590
"충청북도","청주시",2014.12,566
"충청북도","청주시",2015.01,827
"충청북도","청주시",2015.02,676
"충청북도","청주시",2015.03,775
"충청북도","청주시",2015.04,722
"충청북도","청주시",2015.05,725
"충청북도","청주시",2015.06,703
"충청북도","청주시",2015.07,709
"충청북도","청주시",2015.08,690
"충청북도","청주시",2015.09,685
"충청북도","청주시",2015.10,757
"충청북도","청주시",2015.11,659
"충청북도","청주시",2015.12,601
"충청북도","청주시",2016.01,762
"충청북도","청주시",2016.02,693
"충청북도","청주시",2016.03,745
"충청북도","청주시",2016.04,628
"충청북도","청주시",2016.05,670
"충청북도","청주시",2016.06,565
"충청북도","청주시",2016.07,653
"충청북도","청주시",2016.08,690
"충청북도","청주시",2016.09,642
"충청북도","청주시",2016.10,603
"충청북도","청주시",2016.11,635
"충청북도","청주시",2016.12,511
"충청북도","청주시",2017.01,635
"충청북도","청주시",2017.02,585
"충청북도","청주시",2017.03,646
"충청북도","청주시",2017.04,591
"충청북도","청주시",2017.05,580
"충청북도","청주시",2017.06,565
"충청북도","청주시",2017.07,576
"충청북도","청주시",2017.08,627
"충청북도","청주시",2017.09,596
"충청북도","청주시",2017.10,484
"충청북도","청주시",2017.11,581
"충청북도","청주시",2017.12,482
"충청북도","청주시",2018.01,614
"충청북도","청주시",2018.02,578
"충청북도","청주시",2018.03,586
"충청북도","청주시",2018.04,551
"충청북도","청주시",2018.05,550
"충청북도","청주시",2018.06,517
"충청북도","청주시",2018.07,566
"충청북도","청주시",2018.08,533
"충청북도","청주시",2018.09,516
"충청북도","청주시",2018.10,474
"충청북도","청주시",2018.11,494
"충청북도","청주시",2018.12,450
"충청북도","청주시",2019.01,569
"충청북도","청주시",2019.02,467
"충청북도","청주시",2019.03,489
